Unnamed: 0,Date,TENOR_DATE,CURVE_NAME,CURVE_TYPE,UOM,Value,DAYS_TO_EXPIRY,TENOR_YEAR,DAYS_TO_EXPIRY_MASK
2109,2018-01-02,2018-01-02,TC5,SPOT,USD_MT,17.37671,30,2018,0
2108,2018-01-03,2018-01-03,TC5,SPOT,USD_MT,17.231875,30,2018,0
2107,2018-01-04,2018-01-04,TC5,SPOT,USD_MT,16.792135,30,2018,0
2106,2018-01-05,2018-01-05,TC5,SPOT,USD_MT,16.60891,30,2018,0
2105,2018-01-08,2018-01-08,TC5,SPOT,USD_MT,16.403,30,2018,0
2104,2018-01-09,2018-01-09,TC5,SPOT,USD_MT,16.054,30,2018,0
2103,2018-01-10,2018-01-10,TC5,SPOT,USD_MT,15.811445,30,2018,0
2102,2018-01-11,2018-01-11,TC5,SPOT,USD_MT,15.500835,30,2018,0
2101,2018-01-12,2018-01-12,TC5,SPOT,USD_MT,15.500835,30,2018,0
2100,2018-01-15,2018-01-15,TC5,SPOT,USD_MT,15.57936,30,2018,0
2099,2018-01-16,2018-01-16,TC5,SPOT,USD_MT,15.66661,30,2018,0
2098,2018-01-17,2018-01-17,TC5,SPOT,USD_MT,15.549695,30,2018,0
2097,2018-01-18,2018-01-18,TC5,SPOT,USD_MT,15.413585,30,2018,0
2096,2018-01-19,2018-01-19,TC5,SPOT,USD_MT,15.287945,30,2018,0
2095,2018-01-22,2018-01-22,TC5,SPOT,USD_MT,15.86903,30,2018,0
2094,2018-01-23,2018-01-23,TC5,SPOT,USD_MT,15.675335,30,2018,0
2093,2018-01-24,2018-01-24,TC5,SPOT,USD_MT,15.80272,30,2018,0
2092,2018-01-25,2018-01-25,TC5,SPOT,USD_MT,15.80272,30,2018,0
2091,2018-01-26,2018-01-26,TC5,SPOT,USD_MT,15.898695,30,2018,0
2090,2018-01-29,2018-01-29,TC5,SPOT,USD_MT,16.23548,30,2018,0
2089,2018-01-30,2018-01-30,TC5,SPOT,USD_MT,16.62636,30,2018,0
2088,2018-01-31,2018-01-31,TC5,SPOT,USD_MT,16.732805,30,2018,0
2087,2018-02-01,2018-02-01,TC5,SPOT,USD_MT,16.868915,27,2018,0
2086,2018-02-02,2018-02-02,TC5,SPOT,USD_MT,17.245835,27,2018,0
2085,2018-02-05,2018-02-05,TC5,SPOT,USD_MT,17.28597,27,2018,0
2084,2018-02-06,2018-02-06,TC5,SPOT,USD_MT,17.430805,27,2018,0
2083,2018-02-07,2018-02-07,TC5,SPOT,USD_MT,17.915915,27,2018,0
2082,2018-02-08,2018-02-08,TC5,SPOT,USD_MT,18.352165,27,2018,0
2081,2018-02-09,2018-02-09,TC5,SPOT,USD_MT,18.3225,27,2018,0
2080,2018-02-12,2018-02-12,TC5,SPOT,USD_MT,18.37136,27,2018,0
2079,2018-02-13,2018-02-13,TC5,SPOT,USD_MT,18.27364,27,2018,0
2078,2018-02-14,2018-02-14,TC5,SPOT,USD_MT,18.565055,27,2018,0
2077,2018-02-15,2018-02-15,TC5,SPOT,USD_MT,18.75875,27,2018,0
2076,2018-02-16,2018-02-16,TC5,SPOT,USD_MT,18.903585,27,2018,0
2075,2018-02-19,2018-02-19,TC5,SPOT,USD_MT,18.875665,27,2018,0
2074,2018-02-20,2018-02-20,TC5,SPOT,USD_MT,19.050165,27,2018,0
2073,2018-02-21,2018-02-21,TC5,SPOT,USD_MT,19.29272,27,2018,0
2072,2018-02-22,2018-02-22,TC5,SPOT,USD_MT,20.01864,27,2018,0
2071,2018-02-23,2018-02-23,TC5,SPOT,USD_MT,20.0675,27,2018,0
2070,2018-02-26,2018-02-26,TC5,SPOT,USD_MT,19.96978,27,2018,0
2069,2018-02-27,2018-02-27,TC5,SPOT,USD_MT,20.16522,27,2018,0
2068,2018-02-28,2018-02-28,TC5,SPOT,USD_MT,20.0675,27,2018,0
2067,2018-03-01,2018-03-01,TC5,SPOT,USD_MT,20.16522,30,2018,0
2066,2018-03-02,2018-03-02,TC5,SPOT,USD_MT,20.29086,30,2018,0
2065,2018-03-05,2018-03-05,TC5,SPOT,USD_MT,20.11636,30,2018,0
2064,2018-03-06,2018-03-06,TC5,SPOT,USD_MT,20.01864,30,2018,0
2063,2018-03-07,2018-03-07,TC5,SPOT,USD_MT,20.0675,30,2018,0
2062,2018-03-08,2018-03-08,TC5,SPOT,USD_MT,20.0675,30,2018,0
2061,2018-03-09,2018-03-09,TC5,SPOT,USD_MT,20.11636,30,2018,0
2060,2018-03-12,2018-03-12,TC5,SPOT,USD_MT,20.01864,30,2018,0
2059,2018-03-13,2018-03-13,TC5,SPOT,USD_MT,19.96978,30,2018,0
2058,2018-03-14,2018-03-14,TC5,SPOT,USD_MT,19.776085,30,2018,0
2057,2018-03-15,2018-03-15,TC5,SPOT,USD_MT,19.68011,30,2018,0
2056,2018-03-16,2018-03-16,TC5,SPOT,USD_MT,19.486415,30,2018,0
2055,2018-03-19,2018-03-19,TC5,SPOT,USD_MT,19.29272,30,2018,0
2054,2018-03-20,2018-03-20,TC5,SPOT,USD_MT,19.50561,30,2018,0
2053,2018-03-21,2018-03-21,TC5,SPOT,USD_MT,19.786555,30,2018,0
2052,2018-03-22,2018-03-22,TC5,SPOT,USD_MT,19.99072,30,2018,0
2051,2018-03-23,2018-03-23,TC5,SPOT,USD_MT,20.358915,30,2018,0
2050,2018-03-26,2018-03-26,TC5,SPOT,USD_MT,20.75503,30,2018,0
2049,2018-03-27,2018-03-27,TC5,SPOT,USD_MT,20.94,30,2018,0
2048,2018-03-28,2018-03-28,TC5,SPOT,USD_MT,20.94,30,2018,0
2047,2018-03-29,2018-03-29,TC5,SPOT,USD_MT,20.885905,30,2018,0
2046,2018-04-03,2018-04-03,TC5,SPOT,USD_MT,20.795165,29,2018,0
2045,2018-04-04,2018-04-04,TC5,SPOT,USD_MT,20.11636,29,2018,0
2044,2018-04-05,2018-04-05,TC5,SPOT,USD_MT,19.64172,29,2018,0
2043,2018-04-06,2018-04-06,TC5,SPOT,USD_MT,19.224665,29,2018,0
2042,2018-04-09,2018-04-09,TC5,SPOT,USD_MT,19.03097,29,2018,0
2041,2018-04-10,2018-04-10,TC5,SPOT,USD_MT,19.126945,29,2018,0
2040,2018-04-11,2018-04-11,TC5,SPOT,USD_MT,19.14614,29,2018,0
2039,2018-04-12,2018-04-12,TC5,SPOT,USD_MT,19.05889,29,2018,0
2038,2018-04-13,2018-04-13,TC5,SPOT,USD_MT,19.20547,29,2018,0
2037,2018-04-16,2018-04-16,TC5,SPOT,USD_MT,19.63125,29,2018,0
2036,2018-04-17,2018-04-17,TC5,SPOT,USD_MT,19.29272,29,2018,0
2035,2018-04-18,2018-04-18,TC5,SPOT,USD_MT,19.195,29,2018,0
2034,2018-04-19,2018-04-19,TC5,SPOT,USD_MT,19.14614,29,2018,0
2033,2018-04-20,2018-04-20,TC5,SPOT,USD_MT,18.903585,29,2018,0
2032,2018-04-23,2018-04-23,TC5,SPOT,USD_MT,18.80761,29,2018,0
2031,2018-04-24,2018-04-24,TC5,SPOT,USD_MT,18.83553,29,2018,0
2030,2018-04-25,2018-04-25,TC5,SPOT,USD_MT,19.001305,29,2018,0
2029,2018-04-26,2018-04-26,TC5,SPOT,USD_MT,19.078085,29,2018,0
2028,2018-04-27,2018-04-27,TC5,SPOT,USD_MT,19.14614,29,2018,0
2027,2018-04-30,2018-04-30,TC5,SPOT,USD_MT,19.195,29,2018,0
